"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"13","429.3552520032469","471.1670484149716","0.00537109375","0.0048828125","0.005859375","2280","0.00019042148391663539","32","0.00019042148391663539","0","0.00019042148391663539","0.00019042148391663539","12:0.0016174809677767243;14:0.0013081237156763459","12:68;14:68","12:0.002796227632165499;14:0.0029997869031926916","Yes"
"14","364.20808134828627","352.4951650307649","0.027099609375","0.0244140625","0.02978515625","2280","0.0002454101762082744","32","0.0002454101762082744","0","0.0002454101762082744","0.0002454101762082744","15:0.005870638128235406;13:0.0013081237156763459","15:68;13:68","15:0.001823462403869408;13:0.0029997869031926916","Yes"
"15","262.72072320000484","263.6468167104043","0.0048828125","0.0068359375","0.0029296875","2280","0.00011723692383499928","32","0.00011723692383499928","0","0.00011723692383499928","0.00011723692383499928","14:0.005870638128235406;19:0.003864847573435387","14:68;19:68","14:0.001823462403869408;19:0.003912791961406481","Yes"
"16","322.9697891440902","83.98252757406486","0.0068359375","0.01123046875","0.00244140625","2280","0.00018072842047547075","32","0.00018072842047547075","0","0.00018072842047547075","0.00018072842047547075","23:0.0011479788267043933;3:0.0029572072064609767","23:68;3:68","23:0.001695426614506862;3:0.004632489725965444","Yes"
"17","241.19443330945805","136.8708810959963","0.00390625","0.00634765625","0.00146484375","2280","0.0002801452960102153","32","0.0002801452960102153","0","0.0002801452960102153","0.0002801452960102153","7:0.007121495273546913;27:0.0010336930842706482","7:68;27:68","7:0.005486503141179377;27:0.0017176746862311576","Yes"
"18","96.04413351409126","83.2956943655653","0.029052734375","0.025390625","0.03271484375","2280","0.00028859042291653136","32","0.00028859042291653136","0","0.00028859042291653136","0.00028859042291653136","11:0.0034711226680994856;31:0.002841843564652391","11:68;31:68","11:0.0016917127379017793;31:0.0022585579323391447","Yes"
"19","287.486223356082","202.83007835725502","0.0107421875","0.00927734375","0.01220703125","2280","0.0002923469065375167","32","0.0002923469065375167","0","0.0002923469065375167","0.0002923469065375167","35:0.0015773845965580402;15:0.003864847573435387","35:68;15:68","35:0.003323366104055092;15:0.003912791961406481","Yes"
"20","379.7449107236867","20.285092874291667","0.00390625","0.005859375","0.001953125","2280","0.0005731472983552782","32","0.0005731472983552782","0","0.0005731472983552782","0.0005731472983552782","21:0.002307554292591635","21:68","21:0.0016562888747359006","Yes"
"21","396.416516196461","501.07531052252676","0.00439453125","0.00439453125","0.00439453125","2280","0.0002045593208293948","32","0.0002045593208293948","0","0.0002045593208293948","0.0002045593208293948","36:0.0011079306514081289;20:0.002307554292591635;22:0.0034581977864355518","36:68;20:68;22:68","36:0.002772301154928075;20:0.0016562888747359006;22:0.002383596425828388","Yes"
"22","195.78466639975292","109.43042400499904","0.005859375","0.00634765625","0.00537109375","2280","0.0001712611392586076","32","0.0001712611392586076","0","0.0001712611392586076","0.0001712611392586076","23:0.0011512150502848428;21:0.0034581977864355518","23:68;21:68","23:0.025417498155048734;21:0.002383596425828388","Yes"
"23","324.7443831118359","75.15863133242206","0.004150390625","0.005859375","0.00244140625","2280","0.00021133898363476163","32","0.00021133898363476163","0","0.00021133898363476163","0.00021133898363476163","22:0.0011512150502848428;24:0.001182846915235125;16:0.0011479788267043933","22:68;24:68;16:68","22:0.025417498155048734;24:0.0017589929299511864;16:0.001695426614506862","Yes"
"24","284.6219724946671","62.4917245741729","0.019775390625","0.02001953125","0.01953125","2280","0.00029779629397413173","32","0.00029779629397413173","0","0.00029779629397413173","0.00029779629397413173","23:0.001182846915235125;25:0.001801150735684126","23:68;25:68","23:0.0017589929299511864;25:0.004104324856627928","Yes"
"25","82.66001473768044","16.878507528669477","0.006103515625","0.01123046875","0.0009765625","2280","0.00022604143243135498","32","0.00022604143243135498","0","0.00022604143243135498","0.00022604143243135498","24:0.001801150735684126;26:0.0014171502721984086;37:0.0014035262502060941","24:68;26:68;37:68","24:0.004104324856627928;26:0.00249749292949783;37:0.004171214054296046","Yes"
"26","238.31941617511134","150.9374167798717","0.013671875","0.0107421875","0.0166015625","2280","0.00024614806987124883","32","0.00024614806987124883","0","0.00024614806987124883","0.00024614806987124883","25:0.0014171502721984086;27:0.07081008523654525","25:68;27:68","25:0.00249749292949783;27:0.003212551240389383","Yes"
