"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"19","277.0548161051463","209.06720783887934","0.006103515625","0.01025390625","0.001953125","2600","0.00013098812090035715","0.00013098812090035715","0","0.00013098812090035715","0.00013098812090035715","19_35:0.009653129738697364;19_15:0.0029878165807532553","19_35:1;19_15:0.0045193465433411295","19_35:96;19_15:68","true"
"20","230.63317904448127","219.59068431293187","0.003173828125","0.00634765625","0","2600","0.00008543568123027447","0.00008543568123027447","0","0.00008543568123027447","0.00008543568123027447","20_21:0.0013952570628875116","20_21:1","20_21:68","true"
"21","322.2645209805396","258.0826630984928","0.010009765625","0.01611328125","0.00390625","2600","0.00014501095259631132","0.00014501095259631132","0","0.00014501095259631132","0.00014501095259631132","21_36:0.0021005376772886275;21_20:0.0013952570628875116;21_22:0.0018002809955919297","21_36:0.002572373181802562;21_20:1;21_22:1","21_36:68;21_20:68;21_22:68","true"
"22","94.01562899723719","105.34792817323704","0.00341796875","0.00634765625","0.00048828125","2600","0.00021906164579068254","0.00021906164579068254","0","0.00021906164579068254","0.00021906164579068254","22_23:0.0025880057190033057;22_21:0.0018002809955919297","22_23:0.003533125150824462;22_21:1","22_23:68;22_21:68","true"
"23","328.995168608326","279.98379225072523","0.033935546875","0.04296875","0.02490234375","2600","0.00018171810672973154","0.00018171810672973154","0","0.00018171810672973154","0.00018171810672973154","23_22:0.0025880057190033057;23_24:0.0020131054795183845;23_16:0.002598595057404618","23_22:0.003533125150824462;23_24:0.002207806750453817;23_16:0.0017381086222058306","23_22:68;23_24:68;23_16:68","true"
"24","298.02226206572595","154.43147300591136","0.00634765625","0.0068359375","0.005859375","2600","0.00010125844410528208","0.00010125844410528208","0","0.00010125844410528208","0.00010125844410528208","24_23:0.0020131054795183845;24_25:0.0016661549642820739","24_23:0.002207806750453817;24_25:1","24_23:68;24_25:68","true"
"25","198.19106677545884","171.75989513957418","0.01123046875","0.01171875","0.0107421875","2600","0.00018727129878786235","0.00018727129878786235","0","0.00018727129878786235","0.00018727129878786235","25_24:0.0016661549642820739;25_26:0.009608978026338422;25_37:0.002349849835350193","25_24:1;25_26:1;25_37:0.0018311997197168195","25_24:68;25_26:80;25_37:68","true"
"26","212.15581569048126","202.8984894798612","0.00732421875","0.01171875","0.0029296875","2600","0.00025620208309656253","0.00025620208309656253","0","0.00025620208309656253","0.00025620208309656253","26_25:0.009608978026338422;26_27:0.001987655093991847","26_25:1;26_27:1","26_25:80;26_27:68","true"
"27","370.8786925082392","203.5009476044351","0.00341796875","0.0048828125","0.001953125","2600","0.00010474984817132798","0.00010474984817132798","0","0.00010474984817132798","0.00010474984817132798","27_26:0.001987655093991847;27_28:0.002502920652975138;27_17:0.0021842113488492187","27_26:1;27_28:0.004827685937927428;27_17:0.004727967953576412","27_26:68;27_28:68;27_17:68","true"
"28","148.79840248361347","74.0964214830553","0.010009765625","0.01220703125","0.0078125","2600","0.00018410399697962738","0.00018410399697962738","0","0.00018410399697962738","0.00018410399697962738","28_27:0.002502920652975138;28_29:0.002060527098899645","28_27:0.004827685937927428;28_29:0.003993781977961575","28_27:68;28_29:68","true"
"29","222.45712668852582","18.267564407788228","0.005126953125","0.00830078125","0.001953125","2600","0.00015426910756881216","0.00015426910756881216","0","0.00015426910756881216","0.00015426910756881216","29_38:0.001955518813321344;29_28:0.002060527098899645;29_30:0.0031284783438481623","29_38:0.0026752050782749004;29_28:0.003993781977961575;29_30:0.00297994710933569","29_38:68;29_28:68;29_30:68","true"
"30","139.17408992425834","158.07942851650236","0.0078125","0.0126953125","0.0029296875","2600","0.00022369567046706177","0.00022369567046706177","0","0.00022369567046706177","0.00022369567046706177","30_31:0.0029909044273851437;30_29:0.0031284783438481623","30_31:1;30_29:0.00297994710933569","30_31:68;30_29:68","true"
"31","338.9283202079166","177.02367637364046","0.0009765625","0.0009765625","0.0009765625","2600","0.00006758770192989358","0.00006758770192989358","0","0.00006758770192989358","0.00006758770192989358","31_30:0.0029909044273851437;31_32:0.002322829903541934;31_18:0.0015132938235506987","31_30:1;31_32:0.0027567571771452137;31_18:0.0016798021848334621","31_30:68;31_32:68;31_18:68","true"
"32","178.65422506071334","195.16869568098735","0.005859375","0.01123046875","0.00048828125","2600","0.00022799878195867547","0.00022799878195867547","0","0.00022799878195867547","0.00022799878195867547","32_31:0.002322829903541934;32_33:0.002253198599765527","32_31:0.0027567571771452137;32_33:0.0026720870963954924","32_31:68;32_33:68","true"
"33","275.7222061283073","199.50547687126593","0.002685546875","0.00439453125","0.0009765625","2600","0.00014990297742349348","0.00014990297742349348","0","0.00014990297742349348","0.00014990297742349348","33_39:0.0027473088632682385;33_32:0.002253198599765527;33_34:0.001743930981621955","33_39:0.004082997553667339;33_32:0.0026720870963954924;33_34:0.0016786186037872908","33_39:68;33_32:68;33_34:68","true"
"34","204.66285757814885","213.75104066879817","0.00927734375","0.01123046875","0.00732421875","2600","0.00010545680411879641","0.00010545680411879641","0","0.00010545680411879641","0.00010545680411879641","34_33:0.001743930981621955;34_35:0.001608175336487716","34_33:0.0016786186037872908;34_35:1","34_33:68;34_35:68","true"
"35","424.1494005247062","393.825453187045","0.0048828125","0.00732421875","0.00244140625","2600","0.00008493297694365093","0.00008493297694365093","0","0.00008493297694365093","0.00008493297694365093","35_19:0.009653129738697364;35_34:0.001608175336487716","35_19:1;35_34:1","35_19:96;35_34:68","true"
"36","111.01921962131925","145.18941501961308","0.009765625","0.01416015625","0.00537109375","2600","0.00019237582170177696","0.00019237582170177696","0","0.00019237582170177696","0.00019237582170177696","36_41:0.0021870256035537716;36_21:0.0021005376772886275","36_41:0.0039404633959564395;36_21:0.002572373181802562","36_41:68;36_21:68","true"
"37","215.4959614598732","278.982015648152","0.023681640625","0.02392578125","0.0234375","2600","0.00018361575632446381","0.00018361575632446381","0","0.00018361575632446381","0.00018361575632446381","37_45:0.002717780778099421;37_25:0.002349849835350193","37_45:0.002458180648495595;37_25:0.0018311997197168195","37_45:68;37_25:68","true"
"38","124.02370593950332","60.294111824804126","0.00732421875","0.0087890625","0.005859375","2600","0.00020491283220014787","0.00020491283220014787","0","0.00020491283220014787","0.00020491283220014787","38_29:0.001955518813321344;38_49:0.0025524062401325875","38_29:0.0026752050782749004;38_49:0.0021330878002765175","38_29:68;38_49:68","true"
"39","112.72732196910596","125.37068812273915","0.009521484375","0.0166015625","0.00244140625","2600","0.00019228270404009364","0.00019228270404009364","0","0.00019228270404009364","0.00019228270404009364","39_53:0.001738787317830559;39_33:0.0027473088632682385","39_53:0.002608437190519952;39_33:0.004082997553667339","39_53:68;39_33:68","true"
"40","159.73616006947896","107.93034678236414","0.08837890625","0.072265625","0.1044921875","2600","0.00019503864508405074","0.00019503864508405074","0","0.00019503864508405074","0.00019503864508405074","40_41:0.002003797213720626","40_41:0.002769908309662089","40_41:68","true"
"41","141.35771081237152","33.4152764419749","0.0048828125","0.00830078125","0.00146484375","2600","0.00023151534186603527","0.00023151534186603527","0","0.00023151534186603527","0.00023151534186603527","41_40:0.002003797213720626;41_42:0.002695709560824655;41_36:0.0021870256035537716","41_40:0.002769908309662089;41_42:0.0031170603490816573;41_36:0.0039404633959564395","41_40:68;41_42:68;41_36:68","true"
"42","128.8091103958704","61.156191034983316","0.089111328125","0.05615234375","0.1220703125","2600","0.0002509753478069213","0.0002509753478069213","0","0.0002509753478069213","0.0002509753478069213","42_41:0.002695709560824655;42_43:0.004136515659127871","42_41:0.0031170603490816573;42_43:0.0024293755427569896","42_41:68;42_43:68","true"
"43","248.69488159970294","208.65389261193602","0.01171875","0.0107421875","0.0126953125","2600","0.00017737335437306503","0.00017737335437306503","0","0.00017737335437306503","0.00017737335437306503","43_42:0.004136515659127871;43_56:0.0020583918699288994;43_44:0.003224190107344871","43_42:0.0024293755427569896;43_56:0.0032539168462183687;43_44:1","43_42:68;43_56:68;43_44:68","true"
